TICKER,SECTOR,INDUSTRY
BRKL,Financial Services,Banks—Regional
BKKT,Technology,Software—Infrastructure
NRDS,Financial Services,Credit Services
EBET,Consumer Cyclical,Gambling
DRFS,Industrials,Pollution & Treatment Controls
ETV,Financial Services,Asset Management
STRR,Healthcare,Diagnostics & Research
CINF,Financial Services,Insurance—Property & Casualty
BKSY,Technology,Scientific & Technical Instruments
ELYM,Healthcare,Biotechnology
AFCG,Real Estate,REIT—Specialty
NGLD,Basic Materials,Gold
SNPS,Technology,Software—Infrastructure
EGF,Financial Services,Asset Management
HIGA,Financial Services,Shell Companies
TPTX,Healthcare,Biotechnology
TSLA,Consumer Cyclical,Auto Manufacturers
AAMC,Financial Services,Asset Management
PURE,Consumer Defensive,Household & Personal Products
ARTH,Healthcare,Biotechnology
MU,Technology,Semiconductors
LIXT,Healthcare,Biotechnology
PBLA,Healthcare,Biotechnology
QSAM,Healthcare,Biotechnology
JRS,Financial Services,Asset Management
DROP,Technology,Software—Application
MOST,Healthcare,Health Information Services
NDP,Financial Services,Asset Management
TECTP,Financial Services,Banks—Regional
EQIX,Real Estate,REIT—Specialty
ERESU,Financial Services,Shell Companies
SPE,Financial Services,Asset Management
CASS,Industrials,Specialty Business Services
UBIA,Technology,Software—Application
NLSC,Financial Services,Shell Companies
DAWN,Healthcare,Biotechnology
WWAC,Financial Services,Shell Companies
MNTS,Industrials,Aerospace & Defense
FXCO,Financial Services,Shell Companies
NANX,Basic Materials,Specialty Chemicals
MNKPF,Healthcare,Drug Manufacturers—Specialty & Generic
CBDY,Healthcare,Drug Manufacturers—Specialty & Generic
CSBR,Healthcare,Biotechnology
JEF,Financial Services,Capital Markets
GTLB,Technology,Software—Application
UMPQ,Financial Services,Banks—Regional
STXS,Healthcare,Medical Instruments & Supplies
OMGA,Healthcare,Biotechnology
VALU,Financial Services,Financial Data & Stock Exchanges
PAGP,Energy,Oil & Gas Midstream
TSP,Industrials,Trucking
LEU,Energy,Uranium
OM,Healthcare,Medical Devices
DTE,Utilities,Utilities—Regulated Electric
AIRG,Technology,Communication Equipment
CGA,Basic Materials,Agricultural Inputs
LEVI,Consumer Cyclical,Apparel Manufacturing
HIHO,Industrials,Metal Fabrication
TMGI,Communication Services,Broadcasting
GGGV,Fund,
MAC,Real Estate,REIT—Retail
CCV,Financial Services,Shell Companies
IFN,Financial Services,Asset Management
SBGI,Communication Services,Entertainment
FFA,Financial Services,Asset Management
BME,Financial Services,Asset Management
ACOR,Healthcare,Drug Manufacturers—Specialty & Generic
EOI,Financial Services,Asset Management
IMNM,Healthcare,Biotechnology
HLI,Financial Services,Capital Markets
HD,Consumer Cyclical,Home Improvement Retail
GIGA,Technology,Scientific & Technical Instruments
DRIO,Healthcare,Diagnostics & Research
CFR,Financial Services,Banks—Regional
CIA,Financial Services,Insurance—Life
QS,Consumer Cyclical,Auto Parts
EPWR,Financial Services,Shell Companies
F,Consumer Cyclical,Auto Manufacturers
ATEC,Healthcare,Medical Devices
TKAT,Consumer Cyclical,Internet Retail
CFLT,Technology,Software—Infrastructure
USIO,Technology,Information Technology Services
SRAX,Communication Services,Advertising Agencies
XPON,Industrials,Electrical Equipment & Parts
HOOD,Technology,Software—Infrastructure
TPTA,Fund,
SYNH,Healthcare,Diagnostics & Research
FSLR,Technology,Solar
APD,Basic Materials,Specialty Chemicals
NTWK,Technology,Software—Application
DXYN,Consumer Cyclical,Textile Manufacturing
PHIC,Financial Services,Shell Companies
EML,Industrials,Tools & Accessories
HOMB,Financial Services,Banks—Regional
RMBL,Consumer Cyclical,Auto & Truck Dealerships
ISD,Financial Services,Asset Management
LCI,Healthcare,Drug Manufacturers—Specialty & Generic
MHTX,Healthcare,Medical Devices
DYN,Healthcare,Biotechnology
ENX,Financial Services,Asset Management
NGS,Energy,Oil & Gas Equipment & Services
CANN,Healthcare,Drug Manufacturers—Specialty & Generic
CKPT,Healthcare,Biotechnology
STLY,Financial Services,Shell Companies
W,Consumer Cyclical,Internet Retail
WHF,Financial Services,Asset Management
JAZZ,Healthcare,Biotechnology
ALPN,Healthcare,Biotechnology
AREN,Communication Services,Internet Content & Information
WARM,Industrials,Industrial Distribution
GBS,Healthcare,Medical Devices
ALTG,Industrials,Rental & Leasing Services
MTCH,Communication Services,Internet Content & Information
EGBN,Financial Services,Banks—Regional
ETAC,Financial Services,Shell Companies
NXPI,Technology,Semiconductors
PLNT,Consumer Cyclical,Leisure
AXL,Consumer Cyclical,Auto Parts
ARC,Industrials,Specialty Business Services
TCNNF,Healthcare,Drug Manufacturers—Specialty & Generic
USPH,Healthcare,Medical Care Facilities
AIRC,Real Estate,REIT—Residential
TMHC,Consumer Cyclical,Residential Construction
LESL,Consumer Cyclical,Home Improvement Retail
GMTX,Healthcare,Biotechnology
FNHC,Financial Services,Insurance—Property & Casualty
PRKA,Consumer Cyclical,Leisure
CBNT,Basic Materials,Specialty Chemicals
USDP,Industrials,Railroads
PNF,Financial Services,Asset Management
RTTO,Consumer Cyclical,Internet Retail
PEBK,Financial Services,Banks—Regional
PH,Industrials,Specialty Industrial Machinery
PCX,Financial Services,Shell Companies
JRVR,Financial Services,Insurance—Specialty
CNVY,Healthcare,Health Information Services
SSSS,Financial Services,Asset Management
ASA,Financial Services,Asset Management
MOH,Healthcare,Healthcare Plans
PLAY,Communication Services,Entertainment
TSI,Financial Services,Asset Management
TMQ,Basic Materials,Other Industrial Metals & Mining
NOW,Technology,Software—Application
SRT,Technology,Information Technology Services
ICD,Energy,Oil & Gas Drilling
MUE,Financial Services,Asset Management
GFGY,Energy,Oil & Gas Refining & Marketing
RRC,Energy,Oil & Gas E&P
ADER,Financial Services,Shell Companies
USEG,Energy,Oil & Gas E&P
CPTN,Technology,Software—Application
IPG,Communication Services,Advertising Agencies
CAG,Consumer Defensive,Packaged Foods
MTX,Basic Materials,Specialty Chemicals
SWKS,Technology,Semiconductors
DLCA,Financial Services,Shell Companies
GFOO,Financial Services,Shell Companies
TUP,Consumer Cyclical,Packaging & Containers
GOF,Financial Services,Asset Management
ROC,Financial Services,Shell Companies
EA,Communication Services,Electronic Gaming & Multimedia
URI,Industrials,Rental & Leasing Services
CRNX,Healthcare,Biotechnology
MGTA,Healthcare,Biotechnology
GDO,Financial Services,Asset Management
NEX,Energy,Oil & Gas Equipment & Services
SYNE,Energy,Oil & Gas Equipment & Services
VVNT,Industrials,Security & Protection Services
FFIN,Financial Services,Banks—Regional
FFIE,Consumer Cyclical,Auto Manufacturers
EBTC,Financial Services,Banks—Regional
OKE,Energy,Oil & Gas Midstream
FDS,Financial Services,Financial Data & Stock Exchanges
BVS,Healthcare,Medical Devices
EIC,Fund,
EXPE,Consumer Cyclical,Travel Services
GWGHQ,Financial Services,Insurance—Life
LGVN,Healthcare,Biotechnology
ATVI,Communication Services,Electronic Gaming & Multimedia
CARS,Consumer Cyclical,Auto & Truck Dealerships
DKL,Energy,Oil & Gas Midstream
BNKL,Healthcare,Medical Care Facilities
PFSI,Financial Services,Mortgage Finance
RAPT,Healthcare,Biotechnology
PRM,Basic Materials,Specialty Chemicals
NSTG,Healthcare,Medical Instruments & Supplies
NHC,Healthcare,Medical Care Facilities
SCRM,Financial Services,Shell Companies
MCFE,Technology,Software—Infrastructure
